© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
nilotinib	 	chemical drug	Activated	2.183	bias	2.84E-02	BCL2L11,CDK7,PIK3CA,SMC3,ZEB1	 
miR-16-5p (and other miRNAs w/seed AGCAGCA)	 	mature microRNA	Activated	2.014	bias	4.38E-02	C2orf74,ECHDC1,GFPT1,KIF23,MGAT4A,NT5DC1,OSGEPL1,PHLDB2,RICTOR,SLC12A2,SRPRB,UGP2	 
KDM5B	 	transcription regulator	Activated	2.316	bias	2.01E-02	ANKRD36B,AP4S1,AURKA,BBS9,let-7,LGALS3BP,PSD3,SMC5,SWAP70	 
trichostatin A	 	chemical drug	Activated	2.076	 	1.00E00	ADAMTS1,AKAP12,ANKRD1,BCL2L11,CYP4B1,DOCK1,ELOVL6,FOLH1,HMGB1,HMGCS1,HMGCS2,IGFBP1,mir-154,mir-19,mir-25,mir-320,MXD1,MYO1B,PPP1R12A,PTBP2,RCHY1,SATB1,SEMA3A,STAG1,STC2,TNC,VIM,ZEB1	 
lenalidomide	 	chemical drug	Inhibited	-2.424	 	2.40E-01	BLNK,CEMIP2,FCHO2,NUDCD1,PROS1,PTEN,RASGRP3,SCN9A,SEPTIN2,TCF4,VIM	 
Akt	 	group	Inhibited	-2.164	 	4.01E-01	ANKRD1,BCL2L11,FKBP5,IGF1,LMBRD1,MGAT4A,STEAP4,THBS2,TMX3,TNC,TUSC3,ZEB1	 
EPAS1	 	transcription regulator	Inhibited	-2.000	bias	5.59E-03	AKAP12,ANGPT2,CEMIP,CHKA,DMXL1,FAM13A,FLG,FMO5,NEAT1,PIK3CA,PLIN2,SLC16A4,STC2,UGP2	 
HIF1A	 	transcription regulator	Inhibited	-3.116	bias	2.29E-02	ADAMTS1,AKAP12,AURKA,BACH2,BGN,CEMIP,CHKA,CXCR1,FAM13A,GHR,IGF1,ITGB3,NPM1,SLC16A4,SPACA9,STC2,TAC1,TCF4,VIM	 
HOXB13	 	transcription regulator	Inhibited	-2.000	bias	1.42E-02	BCHE,SEMA3A,UGT2B15,UGT2B7	 
PPARGC1A	 	transcription regulator	Inhibited	-2.186	 	2.55E-01	ABCB11,ADAMTS1,CYP7A1,IGFBP7,LAMB1,TCF4	 
MSC	 	transcription regulator	Inhibited	-2.236	bias	3.87E-02	LZTFL1,PSD3,SLC51B,SYNE2,ZAP70	 
HNF1A	 	transcription regulator	Inhibited	-2.343	bias	6.96E-05	ADH1A,ADH1B,ADH4,ANGPTL3,ARHGAP11A,BTN2A1,CCDC198,CTDSPL2,CYP7A1,GSTA1,HNMT,IFNAR1,IGF1,IGFBP1,MIA2,mir-122,PAH,POLR1A,SLC2A2,SLCO1B1,SLCO1B3,THAP10,UGT2B11,UGT2B15,UGT2B17,UGT2B7,ZBTB20	 
DBP	 	transcription regulator	Inhibited	-2.000	bias	7.37E-06	ADH1A,ADH1B,ADH1C,BCL2L14,CYP7A1	 
cycloheximide	 	chemical reagent	Inhibited	-2.183	 	1.00E00	IGFBP1,NPM1,PTBP2,SHBG,UACA	 
