© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Serotonin Degradation	6.85E00	2.45E-01	-3.464	ADH1A,ADH1B,ADH1C,ADH4,ALDH3B1,DHRS4,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B7	
Xenobiotic Metabolism General Signaling Pathway	5.18E00	1.29E-01	-3.638	GSTA1,GSTA2,GSTM2,GSTM3,KRAS,MAP3K1,MAP3K13,PIK3C2A,PIK3CA,PIK3R1,SLC51B,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B7	
Xenobiotic Metabolism Signaling	4.49E00	9.23E-02	NaN	ALDH3B1,CAMK2D,FMO4,FMO5,GRIP1,GSTA1,GSTA2,GSTM2,GSTM3,HSP90AA1,KRAS,MAP3K1,MAP3K13,PIK3C2A,PIK3CA,PIK3R1,PPP2R5A,SLCO1B1,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B7	
Nicotine Degradation II	4.21E00	1.84E-01	-3.000	CYP4B1,FMO4,FMO5,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B7	
Xenobiotic Metabolism CAR Signaling Pathway	3.92E00	1.03E-01	-3.638	ALDH3B1,FMO4,FMO5,GRIP1,GSTA1,GSTA2,GSTM2,GSTM3,HSP90AA1,PPP2R5A,SLCO1B1,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B7	
Nicotine Degradation III	3.77E00	1.82E-01	-2.646	CYP4B1,FMO5,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B7	
Growth Hormone Signaling	3.6E00	1.41E-01	-1.414	GHR,IGF1,ONECUT1,PIK3C2A,PIK3CA,PIK3R1,RPS6KA3,SOCS4,SOCS5,SOCS6	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	3.54E00	2.31E-01	-2.449	UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B7	
Ethanol Degradation II	3.44E00	2.22E-01	-2.449	ADH1A,ADH1B,ADH1C,ADH4,ALDH3B1,DHRS4	
Xenobiotic Metabolism PXR Signaling Pathway	3.34E00	9.52E-02	-2.500	ALDH3B1,CAMK2D,GRIP1,GSTA1,GSTA2,GSTM2,GSTM3,HSP90AA1,PPP1R12A,SLCO1B1,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B7	
Ketogenesis	3.32E00	3.64E-01	0.000	BDH2,HADHB,HMGCS1,HMGCS2	
Noradrenaline and Adrenaline Degradation	3.27E00	2.07E-01	-2.449	ADH1A,ADH1B,ADH1C,ADH4,ALDH3B1,DHRS4	
Mevalonate Pathway I	3.01E00	3.08E-01	0.000	HADHB,HMGCS1,HMGCS2,IDI1	
Melatonin Degradation I	2.82E00	1.49E-01	-2.646	CYP4B1,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B7	
PXR/RXR Activation	2.79E00	1.31E-01	NaN	ABCB11,CYP7A1,GSTA1,GSTA2,GSTM2,HMGCS2,IGFBP1,SLCO1B3	
Superpathway of Melatonin Degradation	2.61E00	1.37E-01	-2.646	CYP4B1,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B7	
